Adjektiv;Substantiv
oransje;lefse
raud;taco
grøn;snigel
blå;and
gul;sebra
rosa;stol
kvit;pingvin
purpur;hest
sort;beltedyr
magenta;appelsin
farga;epple
hurtig;kort
treg;konge
rask;dronning
bleik;elg
klønete;hjort
pen;hund
søt;katt
klumsete;sjiraff
spretten;struts
høy;løve
kort;surikat
lav;esel
fin;antilope
utruleg;gepard
mirakuløs;geit
brennande;tiger
ambisiøs;raudpanda
emo;panda
vakker;orangutang
dynamisk;lemur
billig;sjimpanse
fantasifull;frosk
gammal;flamingo
ung;papegøye
morosam;skilpadde
rar;edderkoppape
høglydt;silkeape
brun;løvetamarin
kongeleg;kiwi
mystisk;ulv
vitskapleg;jerv
gjørmete;gaupe
tørka;sofa
regn;oter
smart;ponni
kul;sau
fortreffeleg;landsvin
frisk;kveg
kosmisk;pyton
galaktisk;slange
søvnig;sommarfugl
fullstendig;bukk
alvorleg;kamel
ekte;flodsvin
flau;fisk
falsk;gullfisk
luktfri;humuhumu
lykkeleg;delfin
heldig;nettside
naturleg;avis
modig;landsby
hemmeleg;lauv
løynleg;briller
nødvendig;glas
ren;elefant
sjølvsikker;rekesalat
grådig;kabaret
stille;fossekall
stolt;rådyr
tung;fårikål
venleg;kenguru
idyllisk;emu
blid;krokodille
hjarteleg;alligator
velviljug;bever
klar;hane
populær;kylling
sløv;høne
sterk;kaviar
sunn;okse
svær;hauk
tøff;sel
liten;laks
fornøgd;blekksprut
forvirret;torsk
fredeleg;lungemos
tilfreds;potetball
nøgd;rockering
forvirra;blåmeis
kjent;bord
ivrig;dompap
konkret;gråspurv
konka;kråke
kvalifisert;skjære
lett;kakapo
nydeleg;mose
overraska;tre
overraskande;eik
;sopp
;frukt
;nøtt
;munk
;stjertmeis
;kaie
;nøtteskrike
;vari
;iguan
;gekko
;pels
;ringhalelemur
;musikk
;orkester
;trompet
;tromme
;saksofon
;piano
;fløyte
;trombone
;gull
;sølv
;jern
;messing
;bass
;gitar
;banjo
;ukulele
;cello
;samurai
;pirat
;fiolin
;uran
;horn
;orgel
;ovn
;pizza
;kull
;nisse
;xylofon
;tuba
;spill
;krakk
;seng
;teppe
;benk
;vase
;banan
;sifaka
;kokaburra
;fennek
;isbjørn
;osteloff
;ost
;genser
;kobra
;brilleslange
;sjøløve
;grizzly
;piggsvin
;fjellrev
;grønlandskval
;klappmyss
;nordkaper
;ilder
;kvalross
;dronte
;hyasintara
;planet
;klokke
;galakse
;univers
;stjernetåke
;stjerne
;komet
;ordbok
;fjære
;jakke
;kabel
;vanilje
;vasslilje
;jazz
;kjenning
;due
;sjokolade
;mjølk
;gasskjempe
;iskjempe
;film
;kamera
;asteroide
;bolide
;teleskop
;dobsonteleskop
;emisjonståke
;galaksehop
;mirastjerne
;måne
;nordlys
;nøytronstjerne
;observatorium
;supernova
